,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
310,VISmma6b,1,310,480149282,"Mediomedial anterior visual area, layer 6b","[997, 8, 567, 688, 695, 315, 254, 894, 480149258, 480149282]",[],"[26, 166, 152]"
311,VISmmp,1,311,480149286,Mediomedial posterior visual area,"[997, 8, 567, 688, 695, 315, 254, 894, 480149286]",[],"[26, 166, 152]"
312,VISmmp1,1,312,480149290,"Mediomedial posterior visual area, layer 1","[997, 8, 567, 688, 695, 315, 254, 894, 480149286, 480149290]",[],"[26, 166, 152]"
313,VISmmp2/3,1,313,480149294,"Mediomedial posterior visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 254, 894, 480149286, 480149294]",[],"[26, 166, 152]"
314,VISmmp4,1,314,480149298,"Mediomedial posterior visual area, layer 4","[997, 8, 567, 688, 695, 315, 254, 894, 480149286, 480149298]",[],"[26, 166, 152]"
315,VISmmp5,1,315,480149302,"Mediomedial posterior visual area,layer 5","[997, 8, 567, 688, 695, 315, 254, 894, 480149286, 480149302]",[],"[26, 166, 152]"
316,VISmmp6a,1,316,480149306,"Mediomedial posterior visual area, layer 6a","[997, 8, 567, 688, 695, 315, 254, 894, 480149286, 480149306]",[],"[26, 166, 152]"
317,VISmmp6b,1,317,480149310,"Mediomedial posterior visual area, layer 6b","[997, 8, 567, 688, 695, 315, 254, 894, 480149286, 480149310]",[],"[26, 166, 152]"
318,VISm,1,318,480149314,Medial visual area,"[997, 8, 567, 688, 695, 315, 254, 894, 480149314]",[],"[26, 166, 152]"
319,VISm1,1,319,480149318,"Medial visual area, layer 1","[997, 8, 567, 688, 695, 315, 254, 894, 480149314, 480149318]",[],"[26, 166, 152]"
320,VISm2/3,1,320,480149322,"Medial visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 254, 894, 480149314, 480149322]",[],"[26, 166, 152]"
321,VISm4,1,321,480149326,"Medial visual area, layer 4","[997, 8, 567, 688, 695, 315, 254, 894, 480149314, 480149326]",[],"[26, 166, 152]"
322,VISm5,1,322,480149330,"Medial visual area,layer 5","[997, 8, 567, 688, 695, 315, 254, 894, 480149314, 480149330]",[],"[26, 166, 152]"
323,VISm6a,1,323,480149334,"Medial visual area, layer 6a","[997, 8, 567, 688, 695, 315, 254, 894, 480149314, 480149334]",[],"[26, 166, 152]"
324,VISm6b,1,324,480149338,"Medial visual area, layer 6b","[997, 8, 567, 688, 695, 315, 254, 894, 480149314, 480149338]",[],"[26, 166, 152]"
325,RSPd,1,325,879,"Retrosplenial area, dorsal part","[997, 8, 567, 688, 695, 315, 254, 879]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[26, 166, 152]"
326,RSPd1,1,326,442,"Retrosplenial area, dorsal part, layer 1","[997, 8, 567, 688, 695, 315, 254, 879, 442]","[667481440, 184527634, 12, 691663206]","[26, 166, 152]"
327,RSPd2/3,1,327,434,"Retrosplenial area, dorsal part, layer 2/3","[997, 8, 567, 688, 695, 315, 254, 879, 434]","[667481441, 184527634, 12, 691663206]","[26, 166, 152]"
328,RSPd4,1,328,545,"Retrosplenial area, dorsal part, layer 4","[997, 8, 567, 688, 695, 315, 254, 879, 545]","[184527634, 667481445, 691663206]","[26, 166, 152]"
329,RSPd5,1,329,610,"Retrosplenial area, dorsal part, layer 5","[997, 8, 567, 688, 695, 315, 254, 879, 610]","[184527634, 12, 667481446, 691663206]","[26, 166, 152]"
330,RSPd6a,1,330,274,"Retrosplenial area, dorsal part, layer 6a","[997, 8, 567, 688, 695, 315, 254, 879, 274]","[667481449, 184527634, 12, 691663206]","[26, 166, 152]"
331,RSPd6b,1,331,330,"Retrosplenial area, dorsal part, layer 6b","[997, 8, 567, 688, 695, 315, 254, 879, 330]","[667481450, 184527634, 12, 691663206]","[26, 166, 152]"
332,RSPv,1,332,886,"Retrosplenial area, ventral part","[997, 8, 567, 688, 695, 315, 254, 886]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[26, 166, 152]"
333,RSPv1,1,333,542,"Retrosplenial area, ventral part, layer 1","[997, 8, 567, 688, 695, 315, 254, 886, 542]","[667481440, 184527634, 12, 691663206]","[26, 166, 152]"
334,RSPv2,1,334,606,"Retrosplenial area, ventral part, layer 2","[997, 8, 567, 688, 695, 315, 254, 886, 606]",[12],"[26, 166, 152]"
335,RSPv2/3,1,335,430,"Retrosplenial area, ventral part, layer 2/3","[997, 8, 567, 688, 695, 315, 254, 886, 430]","[667481441, 184527634, 12, 691663206]","[26, 166, 152]"
336,RSPv5,1,336,687,"Retrosplenial area, ventral part, layer 5","[997, 8, 567, 688, 695, 315, 254, 886, 687]","[184527634, 12, 667481446, 691663206]","[26, 166, 152]"
337,RSPv6a,1,337,590,"Retrosplenial area, ventral part, layer 6a","[997, 8, 567, 688, 695, 315, 254, 886, 590]","[667481449, 184527634, 12, 691663206]","[26, 166, 152]"
338,RSPv6b,1,338,622,"Retrosplenial area, ventral part, layer 6b","[997, 8, 567, 688, 695, 315, 254, 886, 622]","[667481450, 184527634, 12, 691663206]","[26, 166, 152]"
339,PTLp,1,339,22,Posterior parietal association areas,"[997, 8, 567, 688, 695, 315, 22]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891]","[0, 159, 172]"
340,PTLp1,1,340,532,"Posterior parietal association areas, layer 1","[997, 8, 567, 688, 695, 315, 22, 532]",[12],"[0, 159, 172]"
341,PTLp2/3,1,341,241,"Posterior parietal association areas, layer 2/3","[997, 8, 567, 688, 695, 315, 22, 241]",[12],"[0, 159, 172]"
342,PTLp4,1,342,635,"Posterior parietal association areas, layer 4","[997, 8, 567, 688, 695, 315, 22, 635]",[12],"[0, 159, 172]"
343,PTLp5,1,343,683,"Posterior parietal association areas, layer 5","[997, 8, 567, 688, 695, 315, 22, 683]",[12],"[0, 159, 172]"
344,PTLp6a,1,344,308,"Posterior parietal association areas, layer 6a","[997, 8, 567, 688, 695, 315, 22, 308]","[12, 112905813]","[0, 159, 172]"
345,PTLp6b,1,345,340,"Posterior parietal association areas, layer 6b","[997, 8, 567, 688, 695, 315, 22, 340]","[12, 112905813]","[0, 159, 172]"
346,VISa,1,346,312782546,Anterior area,"[997, 8, 567, 688, 695, 315, 22, 312782546]","[396673091, 112905828, 688152357, 691663206, 687527945, 184527634, 167587189, 114512891]","[0, 159, 172]"
347,VISa1,1,347,312782550,"Anterior area, layer 1","[997, 8, 567, 688, 695, 315, 22, 312782546, 312782550]","[667481440, 184527634, 396673091, 691663206]","[0, 159, 172]"
348,VISa2/3,1,348,312782554,"Anterior area, layer 2/3","[997, 8, 567, 688, 695, 315, 22, 312782546, 312782554]","[667481441, 184527634, 396673091, 691663206]","[0, 159, 172]"
349,VISa4,1,349,312782558,"Anterior area, layer 4","[997, 8, 567, 688, 695, 315, 22, 312782546, 312782558]","[184527634, 396673091, 667481445, 691663206]","[0, 159, 172]"
350,VISa5,1,350,312782562,"Anterior area, layer 5","[997, 8, 567, 688, 695, 315, 22, 312782546, 312782562]","[184527634, 396673091, 667481446, 691663206]","[0, 159, 172]"
351,VISa6a,1,351,312782566,"Anterior area, layer 6a","[997, 8, 567, 688, 695, 315, 22, 312782546, 312782566]","[667481449, 184527634, 396673091, 691663206]","[0, 159, 172]"
352,VISa6b,1,352,312782570,"Anterior area, layer 6b","[997, 8, 567, 688, 695, 315, 22, 312782546, 312782570]","[184527634, 396673091, 667481450, 691663206]","[0, 159, 172]"
353,VISrl,1,353,417,Rostrolateral visual area,"[997, 8, 567, 688, 695, 315, 22, 417]","[396673091, 112905828, 688152357, 691663206, 687527945, 184527634, 514166994, 167587189, 114512891]","[0, 159, 172]"
354,VISrl1,1,354,312782604,"Rostrolateral area, layer 1","[997, 8, 567, 688, 695, 315, 22, 417, 312782604]","[667481440, 184527634, 396673091, 691663206]","[0, 159, 172]"
355,VISrl2/3,1,355,312782608,"Rostrolateral area, layer 2/3","[997, 8, 567, 688, 695, 315, 22, 417, 312782608]","[667481441, 184527634, 396673091, 691663206]","[0, 159, 172]"
356,VISrl4,1,356,312782612,"Rostrolateral area, layer 4","[997, 8, 567, 688, 695, 315, 22, 417, 312782612]","[184527634, 396673091, 667481445, 691663206]","[0, 159, 172]"
357,VISrl5,1,357,312782616,"Rostrolateral area, layer 5","[997, 8, 567, 688, 695, 315, 22, 417, 312782616]","[667481446, 184527634, 396673091, 691663206]","[0, 159, 172]"
358,VISrl6a,1,358,312782620,"Rostrolateral area, layer 6a","[997, 8, 567, 688, 695, 315, 22, 417, 312782620]","[667481449, 184527634, 396673091, 691663206]","[0, 159, 172]"
359,VISrl6b,1,359,312782624,"Rostrolateral area, layer 6b","[997, 8, 567, 688, 695, 315, 22, 417, 312782624]","[184527634, 396673091, 667481450, 691663206]","[0, 159, 172]"
360,TEa,1,360,541,Temporal association areas,"[997, 8, 567, 688, 695, 315, 541]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[21, 176, 179]"
361,TEa1,1,361,97,"Temporal association areas, layer 1","[997, 8, 567, 688, 695, 315, 541, 97]","[667481440, 184527634, 12, 691663206]","[21, 176, 179]"
362,TEa2/3,1,362,1127,"Temporal association areas, layer 2/3","[997, 8, 567, 688, 695, 315, 541, 1127]","[667481441, 184527634, 12, 691663206]","[21, 176, 179]"
363,TEa4,1,363,234,"Temporal association areas, layer 4","[997, 8, 567, 688, 695, 315, 541, 234]","[184527634, 12, 667481445, 691663206]","[21, 176, 179]"
364,TEa5,1,364,289,"Temporal association areas, layer 5","[997, 8, 567, 688, 695, 315, 541, 289]","[184527634, 12, 667481446, 691663206]","[21, 176, 179]"
365,TEa6a,1,365,729,"Temporal association areas, layer 6a","[997, 8, 567, 688, 695, 315, 541, 729]","[667481449, 184527634, 12, 691663206]","[21, 176, 179]"
366,TEa6b,1,366,786,"Temporal association areas, layer 6b","[997, 8, 567, 688, 695, 315, 541, 786]","[184527634, 12, 667481450, 691663206]","[21, 176, 179]"
367,PERI,1,367,922,Perirhinal area,"[997, 8, 567, 688, 695, 315, 922]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189]","[14, 150, 132]"
368,PERI1,1,368,540,"Perirhinal area, layer 1","[997, 8, 567, 688, 695, 315, 922, 540]","[667481440, 184527634, 12, 691663206]","[14, 150, 132]"
369,PERI2/3,1,369,888,"Perirhinal area, layer 2/3","[997, 8, 567, 688, 695, 315, 922, 888]","[667481441, 184527634, 12, 691663206]","[14, 150, 132]"
370,PERI5,1,370,692,"Perirhinal area, layer 5","[997, 8, 567, 688, 695, 315, 922, 692]","[184527634, 12, 667481446, 691663206]","[14, 150, 132]"
371,PERI6a,1,371,335,"Perirhinal area, layer 6a","[997, 8, 567, 688, 695, 315, 922, 335]","[667481449, 184527634, 12, 691663206]","[14, 150, 132]"
372,PERI6b,1,372,368,"Perirhinal area, layer 6b","[997, 8, 567, 688, 695, 315, 922, 368]","[667481450, 184527634, 12, 691663206]","[14, 150, 132]"
373,ECT,1,373,895,Ectorhinal area,"[997, 8, 567, 688, 695, 315, 895]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[13, 159, 145]"
374,ECT1,1,374,836,Ectorhinal area/Layer 1,"[997, 8, 567, 688, 695, 315, 895, 836]","[667481440, 184527634, 12, 691663206]","[13, 159, 145]"
375,ECT2/3,1,375,427,Ectorhinal area/Layer 2/3,"[997, 8, 567, 688, 695, 315, 895, 427]","[667481441, 184527634, 12, 691663206]","[13, 159, 145]"
376,ECT5,1,376,988,Ectorhinal area/Layer 5,"[997, 8, 567, 688, 695, 315, 895, 988]","[184527634, 12, 667481446, 691663206]","[13, 159, 145]"
377,ECT6a,1,377,977,Ectorhinal area/Layer 6a,"[997, 8, 567, 688, 695, 315, 895, 977]","[667481449, 184527634, 12, 691663206]","[13, 159, 145]"
378,ECT6b,1,378,1045,Ectorhinal area/Layer 6b,"[997, 8, 567, 688, 695, 315, 895, 1045]","[667481450, 184527634, 12, 691663206]","[13, 159, 145]"
379,OLF,1,379,698,Olfactory areas,"[997, 8, 567, 688, 695, 698]","[2, 3, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[154, 210, 189]"
380,MOB,1,380,507,Main olfactory bulb,"[997, 8, 567, 688, 695, 698, 507]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189, 114512891]","[154, 210, 189]"
381,MOBgl,1,381,212,"Main olfactory bulb, glomerular layer","[997, 8, 567, 688, 695, 698, 507, 212]","[10, 12]","[130, 199, 174]"
382,MOBgr,1,382,220,"Main olfactory bulb, granule layer","[997, 8, 567, 688, 695, 698, 507, 220]","[10, 12]","[130, 199, 174]"
383,MOBipl,1,383,228,"Main olfactory bulb, inner plexiform layer","[997, 8, 567, 688, 695, 698, 507, 228]",[12],"[154, 210, 189]"
384,MOBmi,1,384,236,"Main olfactory bulb, mitral layer","[997, 8, 567, 688, 695, 698, 507, 236]","[10, 12]","[130, 199, 174]"
385,MOBopl,1,385,244,"Main olfactory bulb, outer plexiform layer","[997, 8, 567, 688, 695, 698, 507, 244]",[12],"[154, 210, 189]"
386,AOB,1,386,151,Accessory olfactory bulb,"[997, 8, 567, 688, 695, 698, 151]","[112905828, 688152358, 691663206, 687527945, 10, 12, 184527634, 167587189, 114512891]","[157, 240, 210]"
387,AOBgl,1,387,188,"Accessory olfactory bulb, glomerular layer","[997, 8, 567, 688, 695, 698, 151, 188]","[184527634, 12, 691663206]","[157, 240, 210]"
388,AOBgr,1,388,196,"Accessory olfactory bulb, granular layer","[997, 8, 567, 688, 695, 698, 151, 196]","[184527634, 12, 691663206]","[149, 228, 200]"
389,AOBmi,1,389,204,"Accessory olfactory bulb, mitral layer","[997, 8, 567, 688, 695, 698, 151, 204]","[184527634, 12, 691663206]","[157, 240, 210]"
390,AON,1,390,159,Anterior olfactory nucleus,"[997, 8, 567, 688, 695, 698, 159]","[112905828, 691663206, 688152358, 687527945, 10, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[84, 191, 148]"
391,AONd,1,391,167,"Anterior olfactory nucleus, dorsal part","[997, 8, 567, 688, 695, 698, 159, 167]",[12],"[84, 191, 148]"
392,AONe,1,392,175,"Anterior olfactory nucleus, external part","[997, 8, 567, 688, 695, 698, 159, 175]",[12],"[84, 191, 148]"
393,AONl,1,393,183,"Anterior olfactory nucleus, lateral part","[997, 8, 567, 688, 695, 698, 159, 183]",[12],"[84, 191, 148]"
394,AONm,1,394,191,"Anterior olfactory nucleus, medial part","[997, 8, 567, 688, 695, 698, 159, 191]",[12],"[84, 191, 148]"
395,AONpv,1,395,199,"Anterior olfactory nucleus, posteroventral part","[997, 8, 567, 688, 695, 698, 159, 199]",[12],"[84, 191, 148]"
396,AON1,1,396,160,"Anterior olfactory nucleus, layer 1","[997, 8, 567, 688, 695, 698, 159, 160]",[12],"[84, 191, 148]"
397,AON2,1,397,168,"Anterior olfactory nucleus, layer 2","[997, 8, 567, 688, 695, 698, 159, 168]",[],"[84, 191, 148]"
398,TT,1,398,589,Taenia tecta,"[997, 8, 567, 688, 695, 698, 589]","[112905828, 688152358, 691663206, 687527945, 10, 12, 184527634, 167587189, 114512891]","[98, 208, 159]"
399,TTd,1,399,597,"Taenia tecta, dorsal part","[997, 8, 567, 688, 695, 698, 589, 597]","[184527634, 12, 691663206]","[98, 208, 159]"
400,TTd1-4,1,400,297,"Taenia tecta, dorsal part, layers 1-4","[997, 8, 567, 688, 695, 698, 589, 597, 297]",[],"[98, 208, 159]"
401,TTd1,1,401,1034,"Taenia tecta, dorsal part, layer 1","[997, 8, 567, 688, 695, 698, 589, 597, 1034]",[12],"[98, 208, 159]"
402,TTd2,1,402,1042,"Taenia tecta, dorsal part, layer 2","[997, 8, 567, 688, 695, 698, 589, 597, 1042]",[12],"[98, 208, 159]"
403,TTd3,1,403,1050,"Taenia tecta, dorsal part, layer 3","[997, 8, 567, 688, 695, 698, 589, 597, 1050]",[12],"[98, 208, 159]"
404,TTd4,1,404,1059,"Taenia tecta, dorsal part, layer 4","[997, 8, 567, 688, 695, 698, 589, 597, 1059]",[12],"[98, 208, 159]"
405,TTv,1,405,605,"Taenia tecta, ventral part","[997, 8, 567, 688, 695, 698, 589, 605]","[184527634, 12, 691663206]","[98, 208, 159]"
406,TTv1-3,1,406,306,"Taenia tecta, ventral part, layers 1-3","[997, 8, 567, 688, 695, 698, 589, 605, 306]",[],"[98, 208, 159]"
407,TTv1,1,407,1067,"Taenia tecta, ventral part, layer 1","[997, 8, 567, 688, 695, 698, 589, 605, 1067]",[12],"[98, 208, 159]"
408,TTv2,1,408,1075,"Taenia tecta, ventral part, layer 2","[997, 8, 567, 688, 695, 698, 589, 605, 1075]",[12],"[98, 208, 159]"
409,TTv3,1,409,1082,"Taenia tecta, ventral part, layer 3","[997, 8, 567, 688, 695, 698, 589, 605, 1082]",[12],"[98, 208, 159]"
410,DP,1,410,814,Dorsal peduncular area,"[997, 8, 567, 688, 695, 698, 814]","[112905828, 688152358, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[164, 218, 164]"
411,DP1,1,411,496,"Dorsal peduncular area, layer 1","[997, 8, 567, 688, 695, 698, 814, 496]",[12],"[164, 218, 164]"
412,DP2,1,412,535,"Dorsal peduncular area, layer 2","[997, 8, 567, 688, 695, 698, 814, 535]",[],"[164, 218, 164]"
413,DP2/3,1,413,360,"Dorsal peduncular area, layer 2/3","[997, 8, 567, 688, 695, 698, 814, 360]",[12],"[164, 218, 164]"
414,DP5,1,414,646,"Dorsal peduncular area, layer 5","[997, 8, 567, 688, 695, 698, 814, 646]",[12],"[164, 218, 164]"
415,DP6a,1,415,267,"Dorsal peduncular area, layer 6a","[997, 8, 567, 688, 695, 698, 814, 267]",[12],"[164, 218, 164]"
416,PIR,1,416,961,Piriform area,"[997, 8, 567, 688, 695, 698, 961]","[112905828, 691663206, 688152358, 687527945, 10, 12, 184527634, 112905813, 167587189, 114512891]","[106, 203, 186]"
417,PIR1-3,1,417,152,"Piriform area, layers 1-3","[997, 8, 567, 688, 695, 698, 961, 152]",[],"[106, 203, 186]"
418,PIR1,1,418,276,"Piriform area, molecular layer","[997, 8, 567, 688, 695, 698, 961, 276]",[12],"[106, 203, 186]"
419,PIR2,1,419,284,"Piriform area, pyramidal layer","[997, 8, 567, 688, 695, 698, 961, 284]",[12],"[106, 203, 186]"
420,PIR3,1,420,291,"Piriform area, polymorph layer","[997, 8, 567, 688, 695, 698, 961, 291]",[12],"[106, 203, 186]"
421,NLOT,1,421,619,Nucleus of the lateral olfactory tract,"[997, 8, 567, 688, 695, 698, 619]","[112905828, 691663206, 688152358, 687527945, 10, 12, 184527634, 167587189, 114512891]","[149, 228, 200]"
422,NLOT1-3,1,422,392,"Nucleus of the lateral olfactory tract, layers 1-3","[997, 8, 567, 688, 695, 698, 619, 392]",[],"[149, 228, 200]"
423,NLOT1,1,423,260,"Nucleus of the lateral olfactory tract, molecular layer","[997, 8, 567, 688, 695, 698, 619, 260]","[184527634, 12, 691663206]","[149, 228, 200]"
424,NLOT2,1,424,268,"Nucleus of the lateral olfactory tract, pyramidal layer","[997, 8, 567, 688, 695, 698, 619, 268]","[184527634, 12, 691663206]","[149, 228, 200]"
425,NLOT3,1,425,1139,"Nucleus of the lateral olfactory tract, layer 3","[997, 8, 567, 688, 695, 698, 619, 1139]","[184527634, 12, 691663206]","[149, 228, 200]"
426,COA,1,426,631,Cortical amygdalar area,"[997, 8, 567, 688, 695, 698, 631]","[112905828, 691663206, 10, 12, 184527634, 114512891]","[97, 231, 183]"
427,COAa,1,427,639,"Cortical amygdalar area, anterior part","[997, 8, 567, 688, 695, 698, 631, 639]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189]","[97, 231, 183]"
428,COAa1,1,428,192,"Cortical amygdalar area, anterior part, layer 1","[997, 8, 567, 688, 695, 698, 631, 639, 192]",[12],"[97, 231, 183]"
429,COAa2,1,429,200,"Cortical amygdalar area, anterior part, layer 2","[997, 8, 567, 688, 695, 698, 631, 639, 200]",[12],"[97, 231, 183]"
430,COAa3,1,430,208,"Cortical amygdalar area, anterior part, layer 3","[997, 8, 567, 688, 695, 698, 631, 639, 208]",[],"[97, 231, 183]"
431,COAp,1,431,647,"Cortical amygdalar area, posterior part","[997, 8, 567, 688, 695, 698, 631, 647]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189, 114512891]","[97, 231, 183]"
432,COApl,1,432,655,"Cortical amygdalar area, posterior part, lateral zone","[997, 8, 567, 688, 695, 698, 631, 647, 655]","[184527634, 12, 691663206]","[97, 231, 183]"
433,COApl1-2,1,433,584,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2","[997, 8, 567, 688, 695, 698, 631, 647, 655, 584]",[],"[97, 231, 183]"
434,COApl1-3,1,434,376,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3","[997, 8, 567, 688, 695, 698, 631, 647, 655, 376]",[],"[97, 231, 183]"
435,COApl1,1,435,216,"Cortical amygdalar area, posterior part, lateral zone, layer 1","[997, 8, 567, 688, 695, 698, 631, 647, 655, 216]",[12],"[97, 231, 183]"
436,COApl2,1,436,224,"Cortical amygdalar area, posterior part, lateral zone, layer 2","[997, 8, 567, 688, 695, 698, 631, 647, 655, 224]",[12],"[97, 231, 183]"
437,COApl3,1,437,232,"Cortical amygdalar area, posterior part, lateral zone, layer 3","[997, 8, 567, 688, 695, 698, 631, 647, 655, 232]",[12],"[97, 231, 183]"
438,COApm,1,438,663,"Cortical amygdalar area, posterior part, medial zone","[997, 8, 567, 688, 695, 698, 631, 647, 663]","[184527634, 12, 691663206]","[97, 231, 183]"
439,COApm1-2,1,439,592,"Cortical amygdalar area, posterior part, medial zone, layers 1-2","[997, 8, 567, 688, 695, 698, 631, 647, 663, 592]",[],"[97, 231, 183]"
440,COApm1-3,1,440,383,"Cortical amygdalar area, posterior part, medial zone, layers 1-3","[997, 8, 567, 688, 695, 698, 631, 647, 663, 383]",[],"[97, 231, 183]"
441,COApm1,1,441,240,"Cortical amygdalar area, posterior part, medial zone, layer 1","[997, 8, 567, 688, 695, 698, 631, 647, 663, 240]",[12],"[97, 231, 183]"
442,COApm2,1,442,248,"Cortical amygdalar area, posterior part, medial zone, layer 2","[997, 8, 567, 688, 695, 698, 631, 647, 663, 248]",[12],"[97, 231, 183]"
443,COApm3,1,443,256,"Cortical amygdalar area, posterior part, medial zone, layer 3","[997, 8, 567, 688, 695, 698, 631, 647, 663, 256]",[12],"[97, 231, 183]"
444,PAA,1,444,788,Piriform-amygdalar area,"[997, 8, 567, 688, 695, 698, 788]","[112905828, 688152358, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[89, 218, 171]"
445,PAA1-3,1,445,400,"Piriform-amygdalar area, layers 1-3","[997, 8, 567, 688, 695, 698, 788, 400]",[],"[89, 218, 171]"
446,PAA1,1,446,408,"Piriform-amygdalar area, molecular layer","[997, 8, 567, 688, 695, 698, 788, 408]",[12],"[89, 218, 171]"
447,PAA2,1,447,416,"Piriform-amygdalar area, pyramidal layer","[997, 8, 567, 688, 695, 698, 788, 416]",[12],"[89, 218, 171]"
448,PAA3,1,448,424,"Piriform-amygdalar area, polymorph layer","[997, 8, 567, 688, 695, 698, 788, 424]",[12],"[89, 218, 171]"
449,TR,1,449,566,Postpiriform transition area,"[997, 8, 567, 688, 695, 698, 566]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189, 114512891]","[168, 236, 211]"
450,TR1-3,1,450,517,"Postpiriform transition area, layers 1-3","[997, 8, 567, 688, 695, 698, 566, 517]",[],"[168, 236, 211]"
451,TR1,1,451,1140,"Postpiriform transition area, layers 1","[997, 8, 567, 688, 695, 698, 566, 1140]",[12],"[168, 236, 211]"
452,TR2,1,452,1141,"Postpiriform transition area, layers 2","[997, 8, 567, 688, 695, 698, 566, 1141]",[12],"[168, 236, 211]"
453,TR3,1,453,1142,"Postpiriform transition area, layers 3","[997, 8, 567, 688, 695, 698, 566, 1142]",[12],"[168, 236, 211]"
454,HPF,1,454,1089,Hippocampal formation,"[997, 8, 567, 688, 695, 1089]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[126, 208, 75]"
455,HIP,1,455,1080,Hippocampal region,"[997, 8, 567, 688, 695, 1089, 1080]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[126, 208, 75]"
456,CA,1,456,375,Ammon's horn,"[997, 8, 567, 688, 695, 1089, 1080, 375]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[126, 208, 75]"
457,CA1,1,457,382,Field CA1,"[997, 8, 567, 688, 695, 1089, 1080, 375, 382]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[126, 208, 75]"
458,CA1slm,1,458,391,"Field CA1, stratum lacunosum-moleculare","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 391]",[12],"[126, 208, 75]"
459,CA1so,1,459,399,"Field CA1, stratum oriens","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 399]",[12],"[126, 208, 75]"
460,CA1sp,1,460,407,"Field CA1, pyramidal layer","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 407]","[10, 12]","[102, 168, 61]"
461,CA1sr,1,461,415,"Field CA1, stratum radiatum","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 415]",[12],"[126, 208, 75]"
462,CA2,1,462,423,Field CA2,"[997, 8, 567, 688, 695, 1089, 1080, 375, 423]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189]","[126, 208, 75]"
463,CA2slm,1,463,431,"Field CA2, stratum lacunosum-moleculare","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 431]",[12],"[126, 208, 75]"
464,CA2so,1,464,438,"Field CA2, stratum oriens","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 438]",[12],"[126, 208, 75]"
465,CA2sp,1,465,446,"Field CA2, pyramidal layer","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 446]","[10, 12]","[102, 168, 61]"
466,CA2sr,1,466,454,"Field CA2, stratum radiatum","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 454]",[12],"[126, 208, 75]"
467,CA3,1,467,463,Field CA3,"[997, 8, 567, 688, 695, 1089, 1080, 375, 463]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189, 112905813, 114512891]","[126, 208, 75]"
468,CA3slm,1,468,471,"Field CA3, stratum lacunosum-moleculare","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 471]",[12],"[126, 208, 75]"
469,CA3slu,1,469,479,"Field CA3, stratum lucidum","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 479]",[12],"[126, 208, 75]"
470,CA3so,1,470,486,"Field CA3, stratum oriens","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 486]",[12],"[126, 208, 75]"
471,CA3sp,1,471,495,"Field CA3, pyramidal layer","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 495]","[10, 12]","[102, 168, 61]"
472,CA3sr,1,472,504,"Field CA3, stratum radiatum","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 504]",[12],"[126, 208, 75]"
473,DG,1,473,726,Dentate gyrus,"[997, 8, 567, 688, 695, 1089, 1080, 726]","[3, 112905828, 691663206, 688152359, 687527945, 10, 12, 184527634, 112905813, 167587189, 114512891]","[126, 208, 75]"
474,DG-mo,1,474,10703,"Dentate gyrus, molecular layer","[997, 8, 567, 688, 695, 1089, 1080, 726, 10703]","[184527634, 12, 691663206]","[126, 208, 75]"
